SA2_code,y.myeloma.male,sd.myeloma.male,y.myeloma.female,sd.myeloma.female,y.myeloma.persons,sd.myeloma.persons
11043,1.03,0.10204081632653061,1.03,0.1275510204081633,1.06,0.10459183673469388
11044,1.01,0.1173469387755102,1.01,0.12244897959183673,1.04,0.11734693877551022
11045,1.01,0.08418367346938775,1,0.11479591836734693,1.03,0.09183673469387756
11046,1.02,0.11734693877551022,1,0.15306122448979595,1.05,0.13265306122448983
11047,1.01,0.08928571428571429,1.02,0.09183673469387756,1.05,0.08418367346938775
11048,1.03,0.10969387755102042,1,0.14285714285714288,1.05,0.11989795918367349
11049,1.02,0.07397959183673468,1.01,0.09183673469387756,1.05,0.08673469387755102
11050,1.02,0.10714285714285715,1,0.13775510204081634,1.03,0.09183673469387756
11051,1.01,0.08673469387755102,1.01,0.10204081632653061,1.05,0.09183673469387756
11052,1.02,0.16581632653061223,0.99,0.1887755102040816,1,0.15561224489795916
11053,1.01,0.15051020408163263,1.01,0.1683673469387755,1.05,0.13775510204081637
11054,1.04,0.17346938775510204,1.01,0.17857142857142858,1.07,0.14540816326530612
11055,1.02,0.09438775510204081,1.01,0.11224489795918366,1.06,0.09438775510204081
11056,1.02,0.10969387755102042,1.01,0.13520408163265307,1.05,0.11734693877551022
11057,1.02,0.10714285714285715,1.01,0.14285714285714288,1.06,0.10714285714285715
11058,1.06,0.14795918367346939,1.01,0.1403061224489796,1.1,0.21428571428571427
11059,1.03,0.14795918367346936,1.02,0.14540816326530615,1.08,0.19387755102040818
11060,1.03,0.08163265306122448,1.02,0.09183673469387756,1.05,0.07908163265306122
11061,1,0.08163265306122448,1,0.10459183673469388,1.01,0.07397959183673468
11062,1.01,0.08163265306122448,1.02,0.09948979591836735,1.02,0.08163265306122448
11063,1.03,0.15561224489795922,1.05,0.22959183673469385,1.08,0.21683673469387751
11064,1.01,0.08418367346938775,1.02,0.09948979591836735,1.04,0.08163265306122448
11065,1.01,0.07653061224489795,1.02,0.09948979591836735,1.03,0.07397959183673468
11066,1.01,0.09948979591836735,1.02,0.14030612244897958,1.01,0.08418367346938775
11067,1.01,0.125,1.02,0.13010204081632656,1.02,0.12244897959183673
11068,1.02,0.08928571428571429,1.02,0.10204081632653061,1.04,0.08928571428571429
11069,1,0.07908163265306122,1.02,0.08928571428571429,1.01,0.07397959183673468
11070,1.04,0.1760204081632653,1.02,0.19387755102040816,1.08,0.19642857142857145
11071,1.02,0.10459183673469388,1.01,0.11224489795918369,1.04,0.09183673469387756
11072,1.02,0.1683673469387755,1.01,0.1989795918367347,1.02,0.1607142857142857
11073,1.02,0.09693877551020408,1.02,0.10204081632653061,1.04,0.08928571428571429
11074,1.02,0.08418367346938775,1.02,0.08928571428571429,1.04,0.07397959183673468
11076,1.03,0.14285714285714288,1.01,0.13010204081632656,1.05,0.1301020408163265
11077,1.02,0.1326530612244898,1.04,0.17857142857142858,1.05,0.14795918367346939
11078,1.04,0.1403061224489796,1.05,0.16836734693877553,1.07,0.18112244897959187
11079,1.02,0.07397959183673468,1.03,0.09183673469387756,1.05,0.08673469387755102
11080,1.03,0.15561224489795916,1,0.14540816326530615,1.06,0.1785714285714286
11081,1.03,0.08928571428571429,1,0.08163265306122448,1.04,0.07908163265306122
11082,1.04,0.10969387755102042,0.99,0.11224489795918366,1.04,0.11734693877551022
11083,1.02,0.08418367346938775,1,0.10204081632653059,1.04,0.09948979591836735
11084,1.04,0.14795918367346936,1,0.14285714285714288,1.05,0.14540816326530612
