SA2_code,y.thyroid.male,sd.thyroid.male,y.thyroid.female,sd.thyroid.female,y.thyroid.persons,sd.thyroid.persons
51023,1,0.07653061224489795,1.01,0.23214285714285715,1.01,0.07142857142857141
51024,1,0.15561224489795922,1.02,0.2602040816326531,1,0.11989795918367349
51025,1,0.07908163265306122,1.03,0.23214285714285712,1,0.07908163265306122
51026,1,0.0688775510204082,1.01,0.19642857142857142,1,0.06887755102040814
51027,1,0.061224489795918394,1.01,0.1913265306122449,1,0.06122448979591834
51028,1,0.09438775510204078,1.1,0.2576530612244898,1.01,0.08418367346938775
51029,1,0.058673469387755126,1.01,0.1913265306122449,1,0.05867346938775507
51030,1,0.0637755102040816,1.03,0.2219387755102041,1,0.058673469387755126
51031,1,0.07653061224489795,0.95,0.1709183673469388,1,0.06887755102040814
51032,1,0.07653061224489795,0.99,0.23214285714285715,1.01,0.07908163265306122
51033,1,0.0637755102040816,0.99,0.22193877551020408,1,0.05357142857142859
51034,1,0.08928571428571429,0.97,0.19387755102040813,1.01,0.07142857142857141
51035,1,0.0637755102040816,1,0.17857142857142858,1,0.06122448979591834
51036,1,0.06122448979591834,1.02,0.20408163265306123,1,0.05867346938775507
51037,1,0.07397959183673468,1,0.23214285714285715,1,0.06632653061224487
51038,1,0.05612244897959186,1,0.20408163265306123,1,0.05102040816326532
51039,1,0.06122448979591834,1.01,0.17091836734693877,1,0.05612244897959186
51040,1,0.05867346938775507,1.03,0.2193877551020408,1,0.05612244897959186
51041,1,0.0561224489795918,0.98,0.19132653061224486,1,0.05357142857142859
51042,1,0.06122448979591834,0.98,0.1989795918367347,1,0.05102040816326532
51043,1,0.05612244897959186,0.99,0.1760204081632653,1,0.04846938775510205
51044,1,0.07908163265306122,1.03,0.2142857142857143,1,0.06887755102040814
51045,1,0.06122448979591834,1,0.16326530612244897,1,0.058673469387755126
51046,1,0.07908163265306122,1.01,0.21428571428571427,1,0.08163265306122448
51047,1,0.06632653061224487,1.01,0.18622448979591838,1,0.05357142857142859
51048,1,0.07142857142857141,0.99,0.22193877551020408,1,0.058673469387755126
51049,1,0.06632653061224487,1,0.17346938775510204,1,0.05357142857142859
51050,1,0.06122448979591834,0.98,0.17346938775510204,1.01,0.04846938775510205
51051,1,0.06632653061224487,0.96,0.2040816326530612,1.01,0.05357142857142859
51052,1,0.0637755102040816,1,0.19897959183673466,1,0.05357142857142859
51053,1,0.0561224489795918,1,0.18112244897959187,1,0.05102040816326532
51054,1,0.0637755102040816,0.96,0.1709183673469388,1.01,0.0561224489795918
51056,1,0.05867346938775507,1.01,0.18112244897959184,1,0.05357142857142859
51057,1,0.06122448979591834,1.04,0.17857142857142858,1,0.04846938775510205
51058,1,0.0637755102040816,1.01,0.1836734693877551,1,0.05102040816326532
51059,1,0.06632653061224487,1,0.1760204081632653,1.01,0.0561224489795918
51060,1,0.05867346938775507,0.99,0.17346938775510204,1,0.04846938775510205
51061,1,0.07142857142857141,0.97,0.17346938775510207,1.01,0.053571428571428534
51062,1,0.06632653061224487,0.99,0.17346938775510204,1,0.05102040816326532
51063,1,0.05867346938775507,1.01,0.1989795918367347,1,0.05102040816326532
51065,1,0.0561224489795918,1.01,0.16836734693877556,1.01,0.04846938775510205
51066,1,0.0637755102040816,0.98,0.16836734693877553,1,0.0561224489795918
51067,1,0.05867346938775507,1,0.15051020408163268,1,0.04846938775510205
51068,1.01,0.06122448979591834,1.04,0.17857142857142858,1,0.05102040816326532
51070,1,0.05357142857142859,1.01,0.15816326530612249,1,0.05102040816326532
51071,1,0.0637755102040816,1.04,0.19387755102040816,1,0.058673469387755126
51072,1,0.04846938775510205,1,0.1913265306122449,1,0.05102040816326532
51073,1,0.04846938775510205,1,0.1403061224489796,1,0.04591836734693879
51074,1,0.06122448979591834,0.97,0.15306122448979595,1,0.05612244897959186
51075,1,0.06122448979591834,0.99,0.17091836734693877,1,0.05612244897959186
51076,1,0.06887755102040814,0.99,0.18367346938775508,1,0.058673469387755126
51077,1,0.06122448979591834,0.98,0.16836734693877553,1,0.05612244897959186
51078,1,0.05102040816326532,0.98,0.17602040816326534,1,0.04591836734693879
51079,1,0.06122448979591834,1.01,0.1989795918367347,1,0.061224489795918394
51080,1,0.0637755102040816,0.99,0.17346938775510207,1,0.058673469387755126
51081,1,0.05102040816326532,0.99,0.14540816326530615,1,0.05357142857142859
51082,1,0.06887755102040814,0.98,0.18112244897959184,1,0.0637755102040816
51083,1,0.061224489795918394,0.98,0.18112244897959182,1,0.05102040816326532
51084,1,0.05357142857142859,1.01,0.1683673469387755,1,0.05102040816326532
51085,1,0.05612244897959186,1.02,0.18112244897959184,1,0.04591836734693879
51086,1,0.05612244897959186,1.01,0.2142857142857143,1,0.04591836734693879
51088,1,0.0637755102040816,1.03,0.21938775510204084,1,0.05357142857142859
51089,1,0.05357142857142859,1,0.18112244897959184,1,0.04846938775510205
51090,1,0.058673469387755126,1.03,0.18112244897959184,1,0.05612244897959186
51091,1,0.06887755102040814,1.01,0.2066326530612245,1,0.05102040816326532
51092,1,0.0637755102040816,0.97,0.19387755102040813,1,0.05867346938775507
51093,1,0.05867346938775507,1.02,0.1760204081632653,1,0.04846938775510205
51094,1,0.058673469387755126,0.99,0.22704081632653061,1,0.0637755102040816
51095,1,0.05612244897959186,0.99,0.20408163265306123,1,0.05357142857142859
