SA2_code,y.stomach.male,sd.stomach.male,y.stomach.female,sd.stomach.female,y.stomach.persons,sd.stomach.persons
11067,1.05,0.12500000000000003,1.01,0.08418367346938775,1.05,0.16581632653061223
11068,1.04,0.08928571428571429,1.01,0.05867346938775507,1.08,0.11989795918367349
11069,1.04,0.08928571428571429,1.01,0.05102040816326532,1.06,0.09948979591836735
11070,0.99,0.15816326530612249,1.01,0.10204081632653061,1.05,0.19387755102040816
11071,1.01,0.10204081632653061,1,0.061224489795918394,1.01,0.1173469387755102
11072,1.08,0.18367346938775514,1.01,0.10459183673469388,1.15,0.20918367346938777
11073,1.02,0.10204081632653061,1.01,0.06122448979591834,1.05,0.11734693877551022
11074,1.05,0.08163265306122448,1.01,0.053571428571428534,1.1,0.10204081632653061
11076,1.03,0.12244897959183676,1.01,0.07142857142857141,1.11,0.15306122448979592
11077,1.06,0.1530612244897959,1.02,0.11224489795918369,1.2,0.20153061224489793
11078,1.04,0.13775510204081634,1.01,0.10969387755102042,1.08,0.17091836734693877
11079,1.04,0.08163265306122448,1.01,0.0561224489795918,1.1,0.09948979591836735
11080,1.04,0.20663265306122447,0.98,0.09438775510204078,0.99,0.1658163265306123
11081,1.02,0.07908163265306122,1,0.04591836734693879,1.03,0.09183673469387756
11082,0.98,0.09948979591836732,1,0.0688775510204082,0.95,0.125
11083,1.04,0.10714285714285715,1,0.05357142857142859,1.06,0.1275510204081633
11084,1.06,0.13265306122448978,1.01,0.07653061224489795,1.14,0.20918367346938774
11085,1.05,0.14285714285714285,1,0.07653061224489795,1.07,0.17091836734693877
11086,1.05,0.09693877551020408,1,0.05612244897959186,1.09,0.12755102040816324
11087,1.03,0.11224489795918369,1,0.0637755102040816,1.06,0.14285714285714285
11088,1.05,0.14030612244897958,1,0.08163265306122448,1.13,0.2423469387755102
11089,1.06,0.12244897959183676,1,0.06887755102040814,1.09,0.12244897959183676
11090,1.01,0.13775510204081634,1,0.06632653061224487,1.01,0.1326530612244898
11091,1.06,0.13265306122448978,1,0.06887755102040814,1.14,0.1862244897959184
11092,1.03,0.08418367346938775,1.01,0.05357142857142859,1.06,0.10714285714285715
11093,1.03,0.09183673469387756,1.01,0.0561224489795918,1.06,0.11479591836734696
11094,1.02,0.09183673469387756,1.01,0.053571428571428534,1.07,0.10204081632653061
11095,1.03,0.09183673469387756,1.01,0.0561224489795918,1.07,0.10459183673469388
11096,1.02,0.08673469387755102,1.01,0.04846938775510205,1.05,0.10969387755102042
11097,1.04,0.15051020408163263,0.99,0.08928571428571429,1,0.18367346938775508
11098,1.02,0.07653061224489795,1,0.04591836734693879,1.04,0.08928571428571429
11099,1.02,0.08928571428571429,1.01,0.05102040816326532,1.04,0.09693877551020408
11100,1.02,0.13775510204081634,1.01,0.07908163265306122,1.1,0.14795918367346939
11101,1.04,0.14030612244897964,1.02,0.07908163265306122,1.14,0.163265306122449
11102,1.03,0.13520408163265307,1.01,0.08163265306122448,1.1,0.16071428571428573
11103,1.03,0.08163265306122448,1.01,0.051020408163265266,1.08,0.09693877551020408
11104,1.02,0.10459183673469388,1.01,0.06632653061224487,1.07,0.1352040816326531
11105,1.02,0.09183673469387756,1.01,0.05867346938775507,1.06,0.11479591836734696
11106,1.03,0.11224489795918369,1.01,0.07397959183673468,1.09,0.14030612244897958
11107,1.05,0.10969387755102042,1.01,0.0637755102040816,1.12,0.1301020408163265
11108,1.07,0.14540816326530612,1.02,0.07397959183673468,1.21,0.18112244897959182
11109,1.07,0.08163265306122451,1.01,0.04336734693877555,1.12,0.08418367346938778
11110,1.06,0.09183673469387756,1.01,0.04846938775510205,1.09,0.09948979591836735
11111,1.06,0.11989795918367349,1.01,0.0637755102040816,1.14,0.13520408163265304
11112,1.03,0.15561224489795916,1,0.08163265306122448,1.1,0.1836734693877551
11113,1.04,0.09183673469387756,1.01,0.04846938775510205,1.08,0.10459183673469388
11114,1.07,0.11989795918367344,1.01,0.06122448979591834,1.16,0.13520408163265304
11115,1.06,0.10969387755102042,1.01,0.0637755102040816,1.13,0.1377551020408163
11116,1.07,0.11224489795918369,1.01,0.06122448979591834,1.15,0.14030612244897958
11117,1.05,0.09948979591836735,1.01,0.05867346938775507,1.12,0.11479591836734696
11118,1.07,0.1147959183673469,1.01,0.0637755102040816,1.12,0.12755102040816324
