SA2_code,y.lung.male,sd.lung.male,y.lung.female,sd.lung.female,y.lung.persons,sd.lung.persons
11480,0.92,0.07142857142857144,0.96,0.08163265306122448,0.93,0.061224489795918394
11481,0.92,0.07908163265306124,0.94,0.09948979591836732,0.92,0.0663265306122449
11482,0.84,0.061224489795918366,0.89,0.07142857142857144,0.84,0.05102040816326529
11483,0.91,0.06887755102040817,0.94,0.08673469387755105,0.92,0.0586734693877551
11484,0.9,0.0663265306122449,0.91,0.0739795918367347,0.9,0.0586734693877551
11485,0.89,0.07142857142857144,0.89,0.07908163265306124,0.88,0.05612244897959183
11486,0.9,0.09183673469387758,0.91,0.0969387755102041,0.89,0.07653061224489797
11487,0.92,0.09438775510204085,0.92,0.10969387755102039,0.91,0.08673469387755105
11488,0.88,0.07142857142857144,0.83,0.06887755102040817,0.84,0.05102040816326529
11489,0.87,0.0739795918367347,0.86,0.07142857142857144,0.84,0.05612244897959183
11490,0.91,0.09693877551020405,0.89,0.08418367346938778,0.9,0.07142857142857144
11491,0.87,0.0739795918367347,0.86,0.06887755102040817,0.85,0.05612244897959183
11492,0.89,0.06887755102040817,0.92,0.0739795918367347,0.89,0.05612244897959183
11493,0.86,0.0663265306122449,0.88,0.07908163265306124,0.86,0.05612244897959183
11494,0.89,0.07653061224489797,0.87,0.08673469387755105,0.88,0.06377551020408163
11495,0.82,0.06887755102040817,0.79,0.07397959183673468,0.78,0.05357142857142856
11496,0.92,0.07142857142857144,0.91,0.07653061224489797,0.9,0.061224489795918366
11497,0.85,0.0663265306122449,0.84,0.0739795918367347,0.83,0.05357142857142856
11498,0.85,0.09948979591836735,0.97,0.11479591836734693,0.9,0.07653061224489797
11499,0.88,0.13265306122448978,1,0.1479591836734694,0.95,0.10714285714285712
11500,0.79,0.058673469387755126,0.89,0.07142857142857144,0.82,0.04846938775510205
11501,0.87,0.07908163265306124,0.96,0.09438775510204078,0.91,0.06377551020408163
11502,0.85,0.06887755102040817,0.94,0.09183673469387751,0.88,0.061224489795918366
11503,0.94,0.10204081632653059,0.87,0.11224489795918369,0.9,0.08163265306122451
11504,0.99,0.07653061224489795,0.94,0.0739795918367347,0.96,0.06377551020408166
11505,0.98,0.07908163265306122,0.91,0.0739795918367347,0.94,0.061224489795918394
11506,0.98,0.07397959183673468,0.97,0.07653061224489795,0.96,0.061224489795918394
11507,0.97,0.07397959183673473,0.91,0.07653061224489797,0.93,0.0663265306122449
11508,0.97,0.09183673469387751,0.87,0.08928571428571432,0.91,0.07653061224489797
11509,0.97,0.076530612244898,0.89,0.07908163265306124,0.93,0.06377551020408163
11510,0.94,0.06887755102040817,0.88,0.0739795918367347,0.89,0.0586734693877551
11511,0.99,0.08163265306122448,0.9,0.08673469387755105,0.95,0.06377551020408166
11512,1.04,0.08673469387755102,0.93,0.07653061224489797,1,0.06632653061224487
11513,0.96,0.07142857142857147,0.96,0.08163265306122446,0.96,0.06377551020408166
11514,0.93,0.09183673469387751,0.86,0.09438775510204085,0.88,0.07908163265306124
11515,0.92,0.07142857142857144,0.9,0.08163265306122451,0.9,0.061224489795918366
11516,0.95,0.076530612244898,0.94,0.09183673469387751,0.95,0.0688775510204082
11517,0.96,0.07908163265306124,0.88,0.08673469387755105,0.91,0.07142857142857144
11518,0.96,0.08418367346938772,0.92,0.08163265306122451,0.93,0.06887755102040817
11519,0.94,0.07142857142857147,0.9,0.0739795918367347,0.92,0.061224489795918366
11520,0.98,0.08673469387755102,0.93,0.08673469387755105,0.95,0.06632653061224493
11521,0.93,0.09183673469387758,0.9,0.09183673469387758,0.89,0.06887755102040817
11522,0.93,0.07142857142857144,0.91,0.07908163265306124,0.9,0.06377551020408163
11523,0.95,0.07397959183673473,0.91,0.07653061224489797,0.92,0.061224489795918366
11524,0.95,0.07142857142857147,0.97,0.08163265306122448,0.95,0.06632653061224493
11525,0.93,0.0663265306122449,0.93,0.07142857142857144,0.91,0.0586734693877551
11526,0.99,0.07142857142857141,0.94,0.07908163265306124,0.96,0.061224489795918394
11527,0.89,0.09438775510204085,1,0.09948979591836732,0.92,0.07142857142857144
11528,0.87,0.09948979591836737,0.87,0.11224489795918369,0.86,0.0739795918367347
11529,0.97,0.09693877551020405,0.99,0.09438775510204078,0.97,0.07142857142857147
11530,0.88,0.08673469387755105,1.01,0.1173469387755102,0.92,0.07653061224489797
11531,0.93,0.08418367346938778,1,0.09438775510204081,0.96,0.0688775510204082
11532,0.98,0.09183673469387751,1,0.09438775510204081,0.99,0.07653061224489795
11533,0.96,0.09948979591836732,1.06,0.11734693877551022,1.01,0.08418367346938775
11534,0.97,0.14540816326530615,1.03,0.1836734693877551,0.99,0.1403061224489796
11535,0.99,0.08418367346938775,1,0.09183673469387756,0.99,0.07142857142857141
11536,1.04,0.10459183673469388,1.05,0.11734693877551022,1.05,0.09183673469387756
11537,0.96,0.08928571428571426,0.98,0.09948979591836732,0.96,0.07397959183673473
11538,0.97,0.08928571428571426,0.98,0.08673469387755102,0.96,0.0688775510204082
21001,1.04,0.09438775510204081,0.98,0.09693877551020405,1,0.07397959183673468
21002,1.06,0.10459183673469388,0.99,0.09693877551020408,1.02,0.08163265306122448
21003,1.03,0.08418367346938775,1.05,0.10459183673469388,1.04,0.07908163265306122
21004,1.04,0.08418367346938775,1.05,0.08928571428571429,1.04,0.07142857142857141
21005,0.98,0.10459183673469385,1.05,0.11479591836734696,1,0.08928571428571429
21006,1.01,0.10969387755102039,1.01,0.10204081632653061,1,0.08673469387755102
21007,1.01,0.09183673469387756,1.01,0.09693877551020408,0.99,0.08163265306122448
21008,1,0.08928571428571429,0.97,0.09948979591836732,0.97,0.07397959183673468
21009,0.98,0.0688775510204082,1.04,0.08418367346938775,1,0.0637755102040816
21010,1.02,0.07653061224489795,1.05,0.09183673469387756,1.03,0.0637755102040816
21011,0.96,0.07653061224489797,1.12,0.11479591836734693,1.04,0.07653061224489795
21012,1,0.07397959183673468,1.06,0.09183673469387756,1.02,0.07142857142857141
21013,1.06,0.09438775510204081,1.04,0.09948979591836735,1.05,0.07908163265306122
21014,1.04,0.08928571428571429,1.01,0.08928571428571429,1.02,0.07397959183673468
21015,1.02,0.08928571428571429,1.02,0.09438775510204081,1,0.08163265306122448
21016,1.21,0.163265306122449,1.19,0.1887755102040816,1.24,0.1326530612244898
21017,1.08,0.09183673469387756,1.1,0.10714285714285715,1.11,0.08163265306122451
21018,0.95,0.07653061224489797,0.95,0.09183673469387751,0.95,0.06632653061224493
21019,0.95,0.09183673469387751,0.93,0.09438775510204078,0.94,0.07653061224489797
21020,0.94,0.09438775510204078,0.9,0.08928571428571432,0.91,0.06887755102040817
21021,0.99,0.09948979591836732,0.95,0.09693877551020405,0.97,0.07653061224489795
21022,0.94,0.08673469387755099,0.92,0.09948979591836732,0.93,0.0739795918367347
21023,0.95,0.09948979591836732,0.95,0.09693877551020405,0.95,0.07653061224489797
21024,0.99,0.11479591836734693,0.94,0.09438775510204078,0.96,0.08418367346938775
21025,1,0.10204081632653061,0.9,0.09438775510204085,0.96,0.08163265306122448
21026,1,0.07908163265306122,0.97,0.08673469387755099,0.98,0.06887755102040814
21027,1.01,0.1479591836734694,1.22,0.18112244897959182,1.15,0.12499999999999997
21028,1,0.07142857142857141,1.06,0.08163265306122448,1.03,0.06887755102040814
21029,1,0.08418367346938775,1.03,0.09438775510204081,1.01,0.07397959183673468
21030,1.01,0.09438775510204081,1.1,0.11224489795918369,1.06,0.08418367346938775
21031,0.93,0.08163265306122451,1.05,0.09183673469387756,0.97,0.0688775510204082
21032,0.99,0.07397959183673468,0.97,0.0688775510204082,0.98,0.058673469387755126
21033,1.03,0.07397959183673468,1.01,0.07908163265306122,1.02,0.0637755102040816
21034,0.99,0.08928571428571429,1.04,0.10459183673469388,1.01,0.07653061224489795
21035,1,0.07142857142857141,1.04,0.08673469387755102,1.01,0.06122448979591834
21036,1.03,0.08163265306122448,1.07,0.08928571428571429,1.04,0.07142857142857141
21037,1.01,0.09693877551020408,1.12,0.11734693877551022,1.07,0.08163265306122448
21038,0.92,0.07142857142857144,1.03,0.09438775510204081,0.95,0.058673469387755126
21039,0.99,0.08418367346938775,1.11,0.10459183673469388,1.05,0.07397959183673468
21040,0.96,0.076530612244898,1.04,0.09948979591836735,0.98,0.06632653061224493
21041,1.05,0.07908163265306122,1.11,0.08928571428571432,1.09,0.07142857142857144
21042,1,0.08418367346938775,1.04,0.09183673469387756,1.01,0.07142857142857141
21043,0.99,0.07908163265306122,1.05,0.09693877551020408,1.01,0.06632653061224487
21044,0.95,0.10714285714285712,1.1,0.1377551020408163,1,0.09438775510204081
21045,1.05,0.09183673469387756,1.21,0.12755102040816327,1.13,0.08673469387755105
21046,0.97,0.08928571428571426,1.07,0.1275510204081633,1.01,0.08673469387755102
21047,1.07,0.09948979591836735,1.03,0.10459183673469388,1.04,0.07397959183673468
21048,0.98,0.09693877551020405,1.11,0.12244897959183676,1.03,0.08418367346938775
21049,1.04,0.10714285714285715,1.12,0.11989795918367344,1.08,0.09948979591836735
21050,0.97,0.08163265306122448,1.13,0.10714285714285715,1.04,0.07653061224489795
21051,1.02,0.125,1.1,0.14795918367346939,1.06,0.10714285714285715
21052,0.99,0.12755102040816327,1.08,0.14285714285714285,1.06,0.11479591836734696
21053,1.05,0.09693877551020408,1.07,0.11224489795918369,1.07,0.09183673469387756
21054,0.96,0.07908163265306124,1.01,0.08163265306122448,0.98,0.0688775510204082
21055,1.02,0.07653061224489795,1,0.08163265306122448,1.01,0.07142857142857141
21056,0.93,0.08673469387755105,0.94,0.09438775510204078,0.92,0.0739795918367347
21057,0.98,0.07653061224489795,1,0.08673469387755102,0.99,0.07142857142857141
21058,0.98,0.08418367346938775,1.01,0.08928571428571429,1,0.07908163265306122
21059,0.91,0.11989795918367346,0.98,0.125,0.92,0.09183673469387758
21060,0.97,0.07397959183673473,1.01,0.08418367346938775,0.98,0.06632653061224493
21061,0.96,0.10714285714285712,1.01,0.11224489795918366,0.98,0.08673469387755102
21062,0.95,0.08163265306122446,1.01,0.08928571428571429,0.97,0.07397959183673468
21063,1.16,0.1377551020408163,1.06,0.15051020408163263,1.13,0.11734693877551022
21064,1.04,0.08928571428571429,1.01,0.09693877551020408,1.03,0.07397959183673468
21065,1.03,0.09183673469387756,1.02,0.10204081632653061,1.04,0.08163265306122448
21066,1.03,0.12755102040816327,1.07,0.15051020408163263,1.04,0.10459183673469388
21067,1.03,0.06887755102040814,1,0.07908163265306122,1.02,0.06632653061224487
21068,0.98,0.10459183673469385,1.03,0.11479591836734696,1.01,0.08673469387755102
21069,1,0.08673469387755102,0.98,0.08163265306122448,0.99,0.07142857142857141
21070,1.04,0.08163265306122448,1,0.08418367346938775,1.03,0.07142857142857141
21071,0.95,0.09183673469387751,1.01,0.1173469387755102,0.97,0.08673469387755102
21072,1.05,0.08163265306122448,1.02,0.08418367346938775,1.05,0.06887755102040814
21073,1.08,0.10714285714285715,1,0.09948979591836735,1.06,0.08928571428571429
21074,1.06,0.08418367346938775,1.03,0.08163265306122448,1.06,0.07653061224489795
21075,1.01,0.08928571428571429,0.99,0.09438775510204081,1,0.08163265306122448
21076,1.05,0.09693877551020408,1.09,0.09183673469387756,1.08,0.0739795918367347
21077,0.99,0.06887755102040814,1.02,0.07908163265306122,1,0.06122448979591834
21078,0.98,0.09183673469387756,1.02,0.10459183673469388,1,0.07908163265306122
21079,0.98,0.08673469387755102,1.02,0.09693877551020408,1,0.07397959183673468
21081,0.98,0.09693877551020405,0.99,0.12244897959183673,0.98,0.08418367346938775
21082,1.04,0.07397959183673468,1.01,0.07908163265306122,1.04,0.06632653061224487
21084,1.12,0.10714285714285718,1.07,0.10969387755102042,1.13,0.09183673469387758
21085,1.09,0.09693877551020408,1.12,0.11479591836734696,1.14,0.08418367346938778
21086,0.96,0.09948979591836732,1.02,0.11989795918367349,1,0.08673469387755102
21087,1.08,0.09948979591836735,1.01,0.10714285714285715,1.06,0.08418367346938775
21088,1.01,0.2040816326530612,1.06,0.22448979591836737,1.04,0.1836734693877551
21089,1.02,0.09183673469387756,1.03,0.09693877551020408,1.02,0.07397959183673468
