SA2_code,y.all.male,sd.all.male,y.all.female,sd.all.female,y.all.persons,sd.all.persons
51093,0.91,0.06377551020408163,0.9,0.05612244897959183,0.92,0.05357142857142859
51094,0.78,0.07142857142857144,0.84,0.06887755102040817,0.81,0.061224489795918366
51095,0.92,0.0663265306122449,0.95,0.058673469387755126,0.95,0.058673469387755126
51096,0.85,0.06377551020408163,0.79,0.05102040816326532,0.81,0.04846938775510205
51097,0.98,0.06377551020408166,0.92,0.05357142857142859,0.96,0.05102040816326532
51098,0.93,0.07142857142857144,0.9,0.061224489795918366,0.91,0.05612244897959183
51099,0.9,0.08163265306122451,0.98,0.08163265306122448,0.93,0.0663265306122449
51100,1.01,0.11224489795918366,0.91,0.09438775510204085,0.96,0.09183673469387751
51101,0.93,0.09438775510204078,0.94,0.08163265306122451,0.93,0.07653061224489797
51102,0.92,0.07653061224489797,0.85,0.0663265306122449,0.88,0.061224489795918366
51103,0.86,0.0586734693877551,0.86,0.05612244897959183,0.85,0.05612244897959183
51104,0.94,0.08163265306122451,0.87,0.06377551020408163,0.91,0.06377551020408163
51105,0.88,0.08418367346938778,0.96,0.08163265306122446,0.91,0.0663265306122449
51107,0.93,0.08928571428571432,0.84,0.0739795918367347,0.86,0.0663265306122449
51108,0.86,0.0586734693877551,0.92,0.058673469387755126,0.89,0.048469387755102025
51109,0.99,0.07142857142857141,0.94,0.06632653061224493,0.97,0.061224489795918394
51110,1.12,0.0739795918367347,1.03,0.0637755102040816,1.11,0.061224489795918366
51112,1.07,0.09693877551020408,1.03,0.08673469387755102,1.11,0.08418367346938778
51113,0.99,0.07397959183673468,0.96,0.0688775510204082,0.97,0.07397959183673473
51114,1.08,0.07653061224489797,1.04,0.07142857142857141,1.09,0.0663265306122449
51115,1.01,0.08163265306122448,1.01,0.07653061224489795,1.01,0.07397959183673468
51116,1.06,0.09693877551020408,0.99,0.08163265306122448,1.03,0.07908163265306122
51117,1.1,0.10714285714285715,0.97,0.07908163265306122,1.02,0.08418367346938775
51118,0.98,0.07908163265306122,1.03,0.08163265306122448,1.01,0.07142857142857141
51119,1.12,0.07908163265306124,0.93,0.061224489795918394,1.04,0.06632653061224487
51121,1.04,0.10714285714285715,1.02,0.08928571428571429,1.05,0.09693877551020408
51122,1.17,0.07142857142857144,0.97,0.058673469387755126,1.09,0.0586734693877551
51123,1.09,0.09183673469387756,0.89,0.07142857142857144,0.98,0.07397959183673468
51124,1.09,0.06377551020408163,0.96,0.05357142857142859,1.05,0.048469387755102025
51125,0.97,0.11224489795918366,0.91,0.08418367346938778,0.93,0.08673469387755105
51127,1.02,0.08418367346938775,0.94,0.07653061224489797,0.98,0.0688775510204082
51128,1.1,0.0739795918367347,0.93,0.06377551020408166,1.03,0.05867346938775507
51129,0.87,0.0663265306122449,0.87,0.061224489795918366,0.85,0.05612244897959183
51130,1.14,0.10459183673469391,0.98,0.07397959183673468,1.08,0.08673469387755102
51131,0.88,0.0663265306122449,0.9,0.0663265306122449,0.87,0.05357142857142856
51132,1.18,0.07653061224489797,1.01,0.0637755102040816,1.15,0.0663265306122449
51133,0.88,0.07142857142857144,0.87,0.06377551020408163,0.83,0.0586734693877551
51134,1.1,0.07142857142857144,0.98,0.061224489795918394,1.07,0.05612244897959183
51135,1.02,0.08163265306122448,0.9,0.06887755102040817,0.95,0.06632653061224493
51136,1.06,0.07397959183673468,1.01,0.06632653061224487,1.05,0.0586734693877551
51137,0.96,0.061224489795918394,0.91,0.05612244897959183,0.93,0.05102040816326532
51138,1.06,0.06887755102040817,1.05,0.06377551020408163,1.1,0.0586734693877551
51139,1,0.08418367346938775,1.03,0.08928571428571429,1.02,0.07397959183673468
51140,1.05,0.07142857142857141,0.99,0.061224489795918394,1.01,0.0561224489795918
51141,1,0.06632653061224487,1.03,0.05867346938775507,1.02,0.05867346938775507
51142,1.01,0.09948979591836735,1.04,0.09438775510204081,1.06,0.09183673469387756
